"sequence_num";"twitter_tweet_id";"token";"label";"label2";"fold0";"fold1";"fold2";"fold3";"fold12"
"34";"574069149829214208";"og";"i-info";"i-info";"i-time";"";"";"";""
"35";"574069149829214208";":";"i-info";"i-info";"i-time";"";"";"";""
"36";"574069149829214208";"21.00";"i-info";"i-info";"i-time";"";"";"";""
"37";"574069149829214208";"wib";"i-info";"i-info";"i-time";"";"";"";""
"39";"574069149829214208";"htm";"i-info";"i-info";"bonus";"";"";"";""
"40";"574069149829214208";":";"i-info";"i-info";"other";"";"";"";""
"41";"574069149829214208";"15k";"i-info";"i-info";"other";"";"";"";""
"59";"573999068617179136";"tix";"i-info";"i-info";"contact";"";"";"";""
"60";"573999068617179136";"175k";"i-info";"i-info";"contact";"";"";"";""
"63";"573999068617179136";":";"i-info";"i-info";"contact";"";"";"";""
"284";"574213033272156160";"@neobandung";"i-info";"i-info";"other";"";"";"";""
"425";"574034429678632960";"htm";"i-info";"i-info";"bonus";"";"";"";""
"426";"574034429678632960";"20k";"i-info";"i-info";"bonus";"";"";"";""
"452";"573989098622418944";"|";"i-info";"i-info";"other";"";"";"";""
"474";"573858142129426433";"/";"i-info";"i-info";"contact";"";"";"";""
"585";"573770018342760448";"@horasbandung";"i-info";"i-info";"contact";"";"";"";""
"598";"573767545725063168";"htm";"i-info";"i-info";"bonus";"";"";"";""
"599";"573767545725063168";"20k";"i-info";"i-info";"bonus";"";"";"";""
"649";"573765029310414849";"@yubibdg";"i-info";"i-info";"other";"";"";"";""
"687";"543232031954436096";"for";"i-info";"i-info";"other";"";"";"";""
"688";"543232031954436096";"high";"i-info";"i-info";"other";"";"";"";""
"689";"543232031954436096";"school";"i-info";"i-info";"i-place";"";"";"";""
"707";"542978407399567362";"castingtalentwanita";"i-info";"i-info";"other";"";"";"";""
"708";"542978407399567362";"25";"i-info";"i-info";"i-time";"";"";"";""
"709";"542978407399567362";"-";"i-info";"i-info";"i-time";"";"";"";""
"710";"542978407399567362";"30th";"i-info";"i-info";"bonus";"";"";"";""
"711";"542978407399567362";"peran";"i-info";"i-info";"bonus";"";"";"";""
"712";"542978407399567362";"cs";"i-info";"i-info";"bonus";"";"";"";""
"713";"542978407399567362";"bankbumn";"i-info";"i-info";"bonus";"";"";"";""
"905";"574397906083528704";"?registrasi";"i-info";"i-info";"i-name";"";"";"";""
"1196";"574849739889442816";"3on3";"i-info";"i-info";"i-name";"";"";"";""
