"text";"count(*)"
"!!! --» RT @catlovercirebon: Huy sahabat mpus tgl 4 April KPKC ngadain event, yuk gabung pukul 19.00 di Jl.Kamp.Melati belakang BRI Kesambi";"1"
"!Tenant Calling! Rascal Market-- 20 - 22 Nov 2015 |  IG : https://t.co/jXSq4afEU2 | info : https://t.co/5vbOg9h8Z6 https://t.co/PwiG1vo1FW";"1"
""" @JogjaSIB PromoNovember #LesPrivatInggris w/ NATIVE SPEAKER | Diskonmenarik | Bisa DICICIL | TempatTerbatas https://t.co/bJqgABcT37";"1"
"""@amoiiyeahs: https://t.co/dt5uqM0qTn Teaser DRAMA MUSIKAL FROZEN 6 DEC 2014 @TemanNongkrong @teman_jazz @SoalPALU @infopalu @_bleGong""";"1"
"""@Astarastore: Sekarang tiket seminar #jagojualan palu juga bisa di dapatkan di @TemanNongkrong yuk daftar segera. http://t.co/SLyrKwzThM""";"1"
"""@Bidjon_Zion: ada pelajaran berharga di hari kamis 11 des 2014 #wayoutPalu jln. Juanda  @AciTheBox @AIDSgov http://t.co/sgJHHbPp5O""";"1"
"""@IndiePalu: 12 Des: @RFR_Official X @Iklim_IDN ROAD TO #RIC2014 | Taman Budaya Golni | Tiket 10k, OTS 15k | http://t.co/FhtBb5Gf5g""";"1"
"""@IndiePalu: @RFR_Official X @Iklim_IDN ROAD TO #RIC2014 | Taman Budaya Golni, 12 Dec 2014 | Tiket 10k, OTS 15k http://t.co/CMPJwZhw8a""";"1"
"""@IndiePalu: tinggal beberapa hari lg menuju @RockInCelebes !!! siapkan nyali kalian http://t.co/cqYayMlqCC""";"1"
"""@MajalahTERKAM: KONTES TULISAN! ""Iluminasi Tren Lokalisasi"". Deadline 15 Desember 2014. http://t.co/FwUn3FcJr8""";"1"
"""@MurahBanget_NET: Jual modem smartfren ev-do // 175k // berfungsi normal // tutup… http://t.co/Tj4ewsaVzw #jkt #info";"1"
"""@prio_dr: yg suka lari2 berhadiah di @KotaBalikpapan , silahkan daftar,cashback buat pemegang kartu bpjs https://t.co/VUnxsOYBvE""";"1"
"""@SeniKakula: EMOR XII (Economic Music Open Air) with @bottlesmoker 22 Desember 2014 | at Nebula Outdoor Venue http://t.co/W4U3aMSYr4""";"1"
"""@SSKaktus: EXPO sskaktus satu dekade "" DUA SISI BERBEDA "" http://t.co/B9GrsD2tJ4""";"1"
